[14:45:08] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=True hg=False | steps=2000 seed=0 tok/step=65,536
[18:25:20] step  1380/2000  ce 3.8911  lr 6.52e-04  |grad| 0.17  mem 57.4GB  tok/s 6,847
[18:26:55] step  1390/2000  ce 3.9942  lr 6.42e-04  |grad| 0.17  mem 57.4GB  tok/s 6,848
[18:28:30] step  1400/2000  ce 3.9351  lr 6.33e-04  |grad| 0.18  mem 57.4GB  tok/s 6,848
[18:30:05] step  1410/2000  ce 4.1370  lr 6.23e-04  |grad| 0.20  mem 57.4GB  tok/s 6,849
[18:31:39] step  1420/2000  ce 3.9543  lr 6.14e-04  |grad| 0.19  mem 57.4GB  tok/s 6,849
[18:33:14] step  1430/2000  ce 3.8698  lr 6.04e-04  |grad| 0.20  mem 57.4GB  tok/s 6,850
[18:34:49] step  1440/2000  ce 4.1144  lr 5.95e-04  |grad| 0.19  mem 57.4GB  tok/s 6,850
[18:36:24] step  1450/2000  ce 4.0059  lr 5.86e-04  |grad| 0.18  mem 57.4GB  tok/s 6,850
[18:37:59] step  1460/2000  ce 3.9009  lr 5.77e-04  |grad| 0.17  mem 57.4GB  tok/s 6,851
[18:39:33] step  1470/2000  ce 3.7420  lr 5.68e-04  |grad| 0.18  mem 57.4GB  tok/s 6,851
[18:41:08] step  1480/2000  ce 4.0832  lr 5.60e-04  |grad| 0.17  mem 57.4GB  tok/s 6,852
[18:42:43] step  1490/2000  ce 3.9992  lr 5.51e-04  |grad| 0.17  mem 57.4GB  tok/s 6,852
[18:44:18] step  1500/2000  ce 3.9432  lr 5.43e-04  |grad| 0.18  mem 57.4GB  tok/s 6,853
[18:44:27]   [eval @ 1500] val PPL=47.72
[18:44:30]   [ckpt @ 1500] -> checkpoint_ln_seed0.pt
[18:46:05] step  1510/2000  ce 4.0806  lr 5.34e-04  |grad| 0.18  mem 57.4GB  tok/s 6,847
[18:47:40] step  1520/2000  ce 3.9703  lr 5.26e-04  |grad| 0.19  mem 57.4GB  tok/s 6,847
[18:49:15] step  1530/2000  ce 4.0862  lr 5.18e-04  |grad| 0.23  mem 57.4GB  tok/s 6,848
[18:50:49] step  1540/2000  ce 3.8277  lr 5.10e-04  |grad| 0.19  mem 57.4GB  tok/s 6,848
[18:52:24] step  1550/2000  ce 3.9530  lr 5.02e-04  |grad| 0.17  mem 57.4GB  tok/s 6,849
[18:53:59] step  1560/2000  ce 3.7252  lr 4.95e-04  |grad| 0.20  mem 57.4GB  tok/s 6,849
[18:55:34] step  1570/2000  ce 3.9037  lr 4.87e-04  |grad| 0.18  mem 57.4GB  tok/s 6,850
[18:57:09] step  1580/2000  ce 3.9047  lr 4.80e-04  |grad| 0.17  mem 57.4GB  tok/s 6,850
[18:58:44] step  1590/2000  ce 3.9320  lr 4.73e-04  |grad| 0.17  mem 57.4GB  tok/s 6,850
[19:00:18] step  1600/2000  ce 3.7175  lr 4.65e-04  |grad| 0.18  mem 57.4GB  tok/s 6,851
[19:01:53] step  1610/2000  ce 4.0547  lr 4.59e-04  |grad| 0.17  mem 57.4GB  tok/s 6,851
[19:03:28] step  1620/2000  ce 3.6915  lr 4.52e-04  |grad| 0.17  mem 57.4GB  tok/s 6,851
[19:05:03] step  1630/2000  ce 3.7842  lr 4.45e-04  |grad| 0.17  mem 57.4GB  tok/s 6,852
[19:06:38] step  1640/2000  ce 3.8579  lr 4.39e-04  |grad| 0.17  mem 57.4GB  tok/s 6,852
[19:08:12] step  1650/2000  ce 3.8820  lr 4.32e-04  |grad| 0.16  mem 57.4GB  tok/s 6,853
[19:09:47] step  1660/2000  ce 3.7947  lr 4.26e-04  |grad| 0.17  mem 57.4GB  tok/s 6,853
[19:11:22] step  1670/2000  ce 3.7889  lr 4.20e-04  |grad| 0.18  mem 57.4GB  tok/s 6,853
[19:12:57] step  1680/2000  ce 3.5745  lr 4.14e-04  |grad| 0.17  mem 57.4GB  tok/s 6,854
[19:14:32] step  1690/2000  ce 3.5389  lr 4.09e-04  |grad| 0.23  mem 57.4GB  tok/s 6,854
[19:16:06] step  1700/2000  ce 4.0932  lr 4.03e-04  |grad| 0.18  mem 57.4GB  tok/s 6,854
[19:17:41] step  1710/2000  ce 3.7867  lr 3.98e-04  |grad| 0.17  mem 57.4GB  tok/s 6,855
[19:19:16] step  1720/2000  ce 4.0732  lr 3.93e-04  |grad| 0.17  mem 57.4GB  tok/s 6,855
[19:20:51] step  1730/2000  ce 3.5733  lr 3.88e-04  |grad| 0.18  mem 57.4GB  tok/s 6,855
[19:22:26] step  1740/2000  ce 4.0439  lr 3.83e-04  |grad| 0.17  mem 57.4GB  tok/s 6,856
[19:24:00] step  1750/2000  ce 3.7270  lr 3.78e-04  |grad| 0.17  mem 57.4GB  tok/s 6,856
[19:24:04]   [ckpt @ 1750] -> checkpoint_ln_seed0.pt
[19:25:39] step  1760/2000  ce 3.7874  lr 3.74e-04  |grad| 0.18  mem 57.4GB  tok/s 6,855
[19:27:14] step  1770/2000  ce 4.1762  lr 3.69e-04  |grad| 0.18  mem 57.4GB  tok/s 6,855
[19:28:48] step  1780/2000  ce 3.6913  lr 3.65e-04  |grad| 0.17  mem 57.4GB  tok/s 6,855
[19:30:23] step  1790/2000  ce 3.6532  lr 3.61e-04  |grad| 0.17  mem 57.4GB  tok/s 6,856
[19:31:58] step  1800/2000  ce 3.8519  lr 3.57e-04  |grad| 0.18  mem 57.4GB  tok/s 6,856
[19:33:33] step  1810/2000  ce 3.8329  lr 3.54e-04  |grad| 0.16  mem 57.4GB  tok/s 6,856
[19:35:08] step  1820/2000  ce 3.8180  lr 3.50e-04  |grad| 0.17  mem 57.4GB  tok/s 6,857
[19:36:43] step  1830/2000  ce 3.5088  lr 3.47e-04  |grad| 0.17  mem 57.4GB  tok/s 6,857
[19:38:17] step  1840/2000  ce 3.6426  lr 3.44e-04  |grad| 0.17  mem 57.4GB  tok/s 6,857
[19:39:52] step  1850/2000  ce 3.7529  lr 3.41e-04  |grad| 0.17  mem 57.4GB  tok/s 6,858
[19:41:27] step  1860/2000  ce 3.8756  lr 3.38e-04  |grad| 0.16  mem 57.4GB  tok/s 6,858
[19:43:02] step  1870/2000  ce 3.5356  lr 3.36e-04  |grad| 0.17  mem 57.4GB  tok/s 6,858
[19:44:37] step  1880/2000  ce 3.9786  lr 3.34e-04  |grad| 0.17  mem 57.4GB  tok/s 6,858
[19:46:12] step  1890/2000  ce 3.4709  lr 3.31e-04  |grad| 0.16  mem 57.4GB  tok/s 6,859
[19:47:46] step  1900/2000  ce 3.9412  lr 3.29e-04  |grad| 0.17  mem 57.4GB  tok/s 6,859
[19:49:21] step  1910/2000  ce 3.7618  lr 3.28e-04  |grad| 0.17  mem 57.4GB  tok/s 6,859
[19:50:56] step  1920/2000  ce 3.6431  lr 3.26e-04  |grad| 0.17  mem 57.4GB  tok/s 6,860
[19:52:31] step  1930/2000  ce 3.8365  lr 3.25e-04  |grad| 0.16  mem 57.4GB  tok/s 6,860
[19:54:06] step  1940/2000  ce 3.8309  lr 3.23e-04  |grad| 0.17  mem 57.4GB  tok/s 6,860
[19:55:40] step  1950/2000  ce 3.9006  lr 3.22e-04  |grad| 0.17  mem 57.4GB  tok/s 6,860
[19:57:15] step  1960/2000  ce 3.5771  lr 3.22e-04  |grad| 0.17  mem 57.4GB  tok/s 6,861
[19:58:50] step  1970/2000  ce 3.6886  lr 3.21e-04  |grad| 0.17  mem 57.4GB  tok/s 6,861
[20:00:25] step  1980/2000  ce 3.7967  lr 3.20e-04  |grad| 0.17  mem 57.4GB  tok/s 6,861
[20:01:59] step  1990/2000  ce 3.4232  lr 3.20e-04  |grad| 0.17  mem 57.4GB  tok/s 6,861
[20:03:34] step  2000/2000  ce 3.8508  lr 3.20e-04  |grad| 0.17  mem 57.4GB  tok/s 6,862
[20:03:43]   [eval @ 2000] val PPL=42.40
[20:03:46]   [ckpt @ 2000] -> checkpoint_ln_seed0.pt
[20:03:50] DONE
