[03:47:10] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=True ln=False hg=False | steps=2000 seed=1 tok/step=65,536
[08:25:05] step  1710/2000  ce 3.7548  lr 3.98e-04  |grad| 0.18  mem 59.2GB  tok/s 6,722
[08:26:42] step  1720/2000  ce 3.9814  lr 3.93e-04  |grad| 0.18  mem 59.2GB  tok/s 6,723
[08:28:19] step  1730/2000  ce 3.9140  lr 3.88e-04  |grad| 0.17  mem 59.2GB  tok/s 6,723
[08:29:56] step  1740/2000  ce 3.9186  lr 3.83e-04  |grad| 0.17  mem 59.2GB  tok/s 6,723
[08:31:36] step  1750/2000  ce 3.7686  lr 3.78e-04  |grad| 0.18  mem 59.2GB  tok/s 6,722
[08:31:39]   [ckpt @ 1750] -> checkpoint_vr_seed1.pt
[08:33:26] step  1760/2000  ce 3.8659  lr 3.74e-04  |grad| 0.18  mem 59.2GB  tok/s 6,717
[08:35:13] step  1770/2000  ce 3.5686  lr 3.69e-04  |grad| 0.19  mem 59.2GB  tok/s 6,713
[08:37:02] step  1780/2000  ce 3.8780  lr 3.65e-04  |grad| 0.18  mem 59.2GB  tok/s 6,709
[08:38:56] step  1790/2000  ce 3.9426  lr 3.61e-04  |grad| 0.20  mem 59.2GB  tok/s 6,703
[08:40:49] step  1800/2000  ce 3.6131  lr 3.57e-04  |grad| 0.17  mem 59.2GB  tok/s 6,697
[08:42:38] step  1810/2000  ce 3.6645  lr 3.54e-04  |grad| 0.18  mem 59.2GB  tok/s 6,693
[08:44:24] step  1820/2000  ce 3.8601  lr 3.50e-04  |grad| 0.21  mem 59.2GB  tok/s 6,690
[08:46:10] step  1830/2000  ce 3.7915  lr 3.47e-04  |grad| 0.18  mem 59.2GB  tok/s 6,687
[08:47:54] step  1840/2000  ce 3.4141  lr 3.44e-04  |grad| 0.18  mem 59.2GB  tok/s 6,685
[08:49:39] step  1850/2000  ce 3.7036  lr 3.41e-04  |grad| 0.17  mem 59.2GB  tok/s 6,682
[08:51:23] step  1860/2000  ce 3.4189  lr 3.38e-04  |grad| 0.18  mem 59.2GB  tok/s 6,680
[08:53:09] step  1870/2000  ce 3.6147  lr 3.36e-04  |grad| 0.17  mem 59.2GB  tok/s 6,677
[08:54:53] step  1880/2000  ce 4.0213  lr 3.34e-04  |grad| 0.17  mem 59.2GB  tok/s 6,675
[08:56:37] step  1890/2000  ce 3.9037  lr 3.31e-04  |grad| 0.17  mem 59.2GB  tok/s 6,673
[08:58:21] step  1900/2000  ce 3.8052  lr 3.29e-04  |grad| 0.17  mem 59.2GB  tok/s 6,671
[09:00:06] step  1910/2000  ce 3.8042  lr 3.28e-04  |grad| 0.18  mem 59.2GB  tok/s 6,668
[09:01:50] step  1920/2000  ce 3.8649  lr 3.26e-04  |grad| 0.17  mem 59.2GB  tok/s 6,666
[09:03:28] step  1930/2000  ce 3.9458  lr 3.25e-04  |grad| 0.17  mem 59.2GB  tok/s 6,666
[09:05:06] step  1940/2000  ce 3.5957  lr 3.23e-04  |grad| 0.17  mem 59.2GB  tok/s 6,667
[09:06:43] step  1950/2000  ce 3.6599  lr 3.22e-04  |grad| 0.18  mem 59.2GB  tok/s 6,667
[09:08:20] step  1960/2000  ce 3.5722  lr 3.22e-04  |grad| 0.17  mem 59.2GB  tok/s 6,667
[09:09:57] step  1970/2000  ce 3.7771  lr 3.21e-04  |grad| 0.16  mem 59.2GB  tok/s 6,668
[09:11:34] step  1980/2000  ce 3.5777  lr 3.20e-04  |grad| 0.17  mem 59.2GB  tok/s 6,668
[09:13:12] step  1990/2000  ce 3.7872  lr 3.20e-04  |grad| 0.18  mem 59.2GB  tok/s 6,668
[09:14:49] step  2000/2000  ce 3.6179  lr 3.20e-04  |grad| 0.18  mem 59.2GB  tok/s 6,669
[09:14:58]   [eval @ 2000] val PPL=42.27
[09:15:02]   [ckpt @ 2000] -> checkpoint_vr_seed1.pt
[09:15:05] DONE
