[04:41:13] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[08:25:42] step  1410/2000  ce 4.0884  lr 6.23e-04  |grad| 0.20  mem 57.4GB  tok/s 6,863
[08:27:17] step  1420/2000  ce 4.2784  lr 6.14e-04  |grad| 0.21  mem 57.4GB  tok/s 6,863
[08:28:53] step  1430/2000  ce 4.3091  lr 6.04e-04  |grad| 0.19  mem 57.4GB  tok/s 6,863
[08:30:28] step  1440/2000  ce 4.2573  lr 5.95e-04  |grad| 0.19  mem 57.4GB  tok/s 6,863
[08:32:03] step  1450/2000  ce 4.1268  lr 5.86e-04  |grad| 0.19  mem 57.4GB  tok/s 6,863
[08:33:39] step  1460/2000  ce 4.2012  lr 5.77e-04  |grad| 0.19  mem 57.4GB  tok/s 6,863
[08:35:15] step  1470/2000  ce 4.3655  lr 5.68e-04  |grad| 0.20  mem 57.4GB  tok/s 6,863
[08:36:50] step  1480/2000  ce 4.0271  lr 5.60e-04  |grad| 0.20  mem 57.4GB  tok/s 6,863
[08:38:25] step  1490/2000  ce 3.9108  lr 5.51e-04  |grad| 0.18  mem 57.4GB  tok/s 6,863
[08:40:00] step  1500/2000  ce 4.0121  lr 5.43e-04  |grad| 0.21  mem 57.4GB  tok/s 6,863
[08:40:10]   [eval @ 1500] val PPL=69.20
[08:40:13]   [ckpt @ 1500] -> checkpoint_treatment_seed2.pt
[08:41:49] step  1510/2000  ce 4.3831  lr 5.34e-04  |grad| 0.19  mem 57.4GB  tok/s 6,857
[08:43:24] step  1520/2000  ce 4.1683  lr 5.26e-04  |grad| 0.18  mem 57.4GB  tok/s 6,857
[08:44:59] step  1530/2000  ce 4.9604  lr 5.18e-04  |grad| 0.36  mem 57.4GB  tok/s 6,858
[08:46:34] step  1540/2000  ce 4.0789  lr 5.10e-04  |grad| 0.19  mem 57.4GB  tok/s 6,858
[08:48:09] step  1550/2000  ce 4.4014  lr 5.02e-04  |grad| 0.18  mem 57.4GB  tok/s 6,858
[08:49:45] step  1560/2000  ce 4.5113  lr 4.95e-04  |grad| 0.19  mem 57.4GB  tok/s 6,858
[08:51:20] step  1570/2000  ce 4.3012  lr 4.87e-04  |grad| 0.18  mem 57.4GB  tok/s 6,859
[08:52:55] step  1580/2000  ce 4.2095  lr 4.80e-04  |grad| 0.20  mem 57.4GB  tok/s 6,859
