[00:11:50] ARM arch=faithful schedule=cosine optimizer=adamw zloss=0.0 | vr=False ln=False hg=False | steps=2000 seed=2 tok/step=65,536
[04:59:32] step  1820/2000  ce 3.7255  lr 3.50e-04  |grad| 0.19  mem 57.4GB  tok/s 6,911
[05:01:07] step  1830/2000  ce 3.6615  lr 3.47e-04  |grad| 0.19  mem 57.4GB  tok/s 6,911
[05:02:41] step  1840/2000  ce 3.6609  lr 3.44e-04  |grad| 0.17  mem 57.4GB  tok/s 6,912
[05:04:15] step  1850/2000  ce 3.9540  lr 3.41e-04  |grad| 0.17  mem 57.4GB  tok/s 6,912
[05:05:50] step  1860/2000  ce 3.4815  lr 3.38e-04  |grad| 0.17  mem 57.4GB  tok/s 6,912
[05:07:24] step  1870/2000  ce 4.0831  lr 3.36e-04  |grad| 0.19  mem 57.4GB  tok/s 6,912
[05:08:59] step  1880/2000  ce 3.7933  lr 3.34e-04  |grad| 0.23  mem 57.4GB  tok/s 6,912
[05:10:33] step  1890/2000  ce 3.7807  lr 3.31e-04  |grad| 0.18  mem 57.4GB  tok/s 6,912
[05:12:08] step  1900/2000  ce 3.8250  lr 3.29e-04  |grad| 0.18  mem 57.4GB  tok/s 6,912
[05:13:43] step  1910/2000  ce 3.8187  lr 3.28e-04  |grad| 0.18  mem 57.4GB  tok/s 6,912
[05:15:17] step  1920/2000  ce 3.8714  lr 3.26e-04  |grad| 0.17  mem 57.4GB  tok/s 6,913
[05:16:52] step  1930/2000  ce 3.7963  lr 3.25e-04  |grad| 0.18  mem 57.4GB  tok/s 6,913
[05:18:26] step  1940/2000  ce 3.8907  lr 3.23e-04  |grad| 0.17  mem 57.4GB  tok/s 6,913
[05:20:01] step  1950/2000  ce 3.8458  lr 3.22e-04  |grad| 0.17  mem 57.4GB  tok/s 6,913
[05:21:35] step  1960/2000  ce 4.0234  lr 3.22e-04  |grad| 0.17  mem 57.4GB  tok/s 6,913
[05:23:10] step  1970/2000  ce 4.0977  lr 3.21e-04  |grad| 0.19  mem 57.4GB  tok/s 6,913
[05:24:44] step  1980/2000  ce 3.7462  lr 3.20e-04  |grad| 0.18  mem 57.4GB  tok/s 6,913
[05:26:19] step  1990/2000  ce 3.7687  lr 3.20e-04  |grad| 0.17  mem 57.4GB  tok/s 6,913
[05:27:53] step  2000/2000  ce 3.4742  lr 3.20e-04  |grad| 0.18  mem 57.4GB  tok/s 6,913
[05:28:02]   [eval @ 2000] val PPL=46.61
[05:28:05]   [ckpt @ 2000] -> checkpoint_baseline_seed2.pt
[05:28:09] DONE
